0.010000	0.279396	0.126330	91.675000	95.910000	
0.010000	0.105036	0.118529	96.735000	96.000000	
0.010000	0.083376	0.091485	97.390000	97.250000	
0.010000	0.070187	0.096605	97.748333	97.020000	
0.010000	0.059745	0.086138	98.073333	97.310000	
0.010000	0.058239	0.109395	98.193333	96.800000	
0.010000	0.047014	0.096030	98.466667	97.370000	
0.010000	0.045029	0.100547	98.531667	97.010000	
0.010000	0.048410	0.089964	98.395000	97.200000	
0.010000	0.045638	0.080931	98.550000	97.520000	
0.010000	0.043555	0.080561	98.578333	97.680000	
0.010000	0.039448	0.077980	98.621667	97.810000	
0.010000	0.041661	0.083769	98.610000	97.360000	
0.010000	0.039322	0.091693	98.650000	97.380000	
0.010000	0.037748	0.084710	98.728333	97.600000	
0.010000	0.041525	0.098194	98.656667	97.270000	
0.010000	0.038809	0.086548	98.711667	97.570000	
0.010000	0.039231	0.071879	98.725000	97.920000	
0.010000	0.041385	0.091388	98.616667	97.540000	
0.010000	0.037624	0.076671	98.753333	97.580000
